Year,Region,Climate_Condition,Average_Temperature_C,CO2_Emissions_Tons,Traffic_Density_VehiclesPerKm2,Population_Density_PeoplePerKm2,Urbanization_Rate_Percent,Green_Cover_Percent,Climate_Change_Index
2013,Africa,Temperate,18.23,713301277.57,6811.54,5103.8,57.79,31.46,0.3361
2017,Africa,Cold,23.15,366920099.82,717.58,1057.18,71.47,37.41,0.6397
2008,Africa,Cold,23.95,53882999.63,5957.37,8584.33,67.37,39.67,0.5338
2020,Africa,Cold,36.59,755177607.25,7731.72,3104.55,89.32,47.87,0.8156
2001,Europe,Temperate,39.85,955219985.32,8290.72,9713.26,62.74,7.7,0.6274
2019,North America,Cold,26.01,240911444.43,1746.78,1187.42,80.07,51.9,0.0003
2014,Asia,Tropical,4.36,324201089.12,8979.32,9582.93,32.38,9.03,0.7632
2006,North America,Polar,33.99,184629076.59,6578.65,919.21,71.04,35.44,0.7468
2011,Africa,Polar,-7.54,577359187.22,8824.46,2318.05,91.2,58.8,0.5097
2007,Europe,Arid,1.55,155686553.25,4878.54,475.33,44.72,34.33,0.9029
2014,South America,Arid,34.87,356837749.52,5443.23,7054.08,80.12,14.69,0.9084
2002,Europe,Polar,2.81,697316000.92,9194.43,8504.48,75.23,69.03,0.5239
2013,Africa,Tropical,1.03,560555867.03,9004.1,4346.37,15.36,62.8,0.608
2016,Europe,Temperate,-3.09,387076101.76,4509.2,9285.94,62.34,55.14,0.9965
2003,Europe,Temperate,32.96,420829352.21,2780.41,5907.09,21.72,31.75,0.2988
2017,Africa,Tropical,15.0,562548771.74,3962.05,6303.77,97.06,16.95,0.3246
2007,Europe,Temperate,23.74,6858863.16,3908.26,8455.74,83.03,66.19,0.1828
2003,Asia,Cold,1.95,79431358.59,2904.33,2975.03,19.88,39.6,0.8959
2001,Asia,Polar,27.9,881376809.7,2722.37,3549.11,20.96,60.4,0.7445
2005,Europe,Polar,28.0,78801110.1,8617.58,9060.46,63.5,27.24,0.1056
2021,South America,Tropical,5.63,707096792.61,745.13,9010.63,41.04,26.79,0.9818
2009,Africa,Temperate,10.53,920118125.94,6792.23,9765.06,13.14,69.06,0.731
2003,Asia,Arid,0.48,271412920.7,1769.56,9019.36,58.75,38.92,0.8505
2021,South America,Arid,38.83,371120945.62,3477.83,1282.45,44.91,14.15,0.0482
2017,Europe,Temperate,22.28,569352484.44,662.35,8239.01,19.1,19.28,0.505
2011,South America,Arid,36.73,881827260.67,2736.24,4104.29,82.17,36.33,0.6986
2001,North America,Tropical,5.17,941963681.67,7695.79,9908.11,92.36,7.76,0.5429
2009,Asia,Tropical,29.09,739823684.86,8855.9,4728.09,78.09,35.06,0.6666
2003,Europe,Temperate,28.29,87533141.09,2254.2,5542.82,84.02,32.23,0.8179
2013,Africa,Arid,24.58,669485001.38,4662.3,5302.45,29.48,55.66,0.3743
2015,Europe,Tropical,38.28,410893418.15,4729.72,3224.15,33.72,28.07,0.8487
2014,Africa,Tropical,9.68,471230298.49,8742.07,759.47,28.77,68.87,0.1629
2007,Europe,Cold,-3.46,50099241.95,7639.85,8957.56,78.86,16.75,0.2709
2013,South America,Cold,23.59,191871077.21,5155.12,8028.73,95.31,43.41,0.0433
2022,South America,Tropical,26.47,790723093.93,6723.93,1403.87,74.52,10.83,0.3644
2024,South America,Temperate,18.75,454504874.21,8481.18,7769.92,89.33,52.7,0.3799
2007,North America,Polar,0.34,302360579.39,144.91,6262.21,67.48,69.66,0.8053
2020,Africa,Polar,15.22,384635054.89,4058.76,4097.35,44.89,58.24,0.6531
2015,South America,Tropical,5.61,854545113.81,9077.07,2547.67,48.32,41.12,0.4367
2012,North America,Tropical,11.37,749250018.39,7416.11,8598.69,16.78,36.51,0.6521
2017,Africa,Tropical,22.26,273043081.78,5451.27,7004.88,12.83,59.28,0.0528
2014,Europe,Temperate,27.26,118384338.37,5319.96,5481.92,72.59,65.84,0.1803
2020,North America,Cold,1.61,252746223.42,3510.31,6099.59,49.46,69.3,0.6269
2023,Asia,Tropical,10.27,920835694.6,5229.18,919.75,59.7,30.78,0.6414
2024,North America,Tropical,3.46,582007249.01,6571.06,4744.46,60.19,69.41,0.7741
2012,North America,Arid,-0.07,533946728.54,4212.71,1945.07,34.96,15.14,0.403
2008,Africa,Temperate,29.17,596797206.09,7155.82,2091.75,52.83,21.48,0.7226
2014,Europe,Tropical,35.46,366662237.48,8619.26,6616.43,52.37,10.79,0.684
2012,Asia,Arid,8.51,807299913.3,1589.11,9113.45,44.96,22.66,0.9634
2000,South America,Polar,27.56,523762963.05,4542.89,4043.53,83.86,54.92,0.2151
2024,South America,Tropical,34.85,117631154.87,4109.8,2085.42,50.6,60.44,0.5517
2006,North America,Tropical,32.31,129936059.7,6890.27,6490.98,64.33,55.63,0.6018
2008,Africa,Arid,-0.86,537322287.36,2536.18,8713.16,90.6,46.02,0.9986
2023,Africa,Temperate,37.81,936633647.85,6420.5,7485.7,87.96,38.41,0.2012
2000,South America,Tropical,8.83,309043769.55,8781.02,8688.88,90.14,51.07,0.5232
2011,Asia,Polar,6.96,869671627.69,4210.41,5370.18,34.3,30.4,0.3462
2007,Europe,Tropical,-6.88,764331490.99,9114.61,7521.24,13.15,59.69,0.5259
2023,Asia,Polar,14.31,248564630.46,9931.98,1409.24,33.5,49.02,0.2321
2010,Europe,Cold,-4.55,37304407.57,1105.62,3489.26,35.08,50.36,0.0476
2018,South America,Cold,2.43,102745417.88,2368.88,3901.6,91.84,39.84,0.5726
2016,Europe,Polar,5.85,728765439.91,9506.28,5117.84,68.43,62.54,0.3359
2007,Africa,Temperate,30.44,200470068.3,9585.36,9291.47,17.35,21.38,0.1819
2002,North America,Tropical,33.77,371899649.58,1022.19,8744.22,22.18,29.77,0.3239
2002,North America,Tropical,5.12,502197466.84,199.24,1353.91,24.01,55.55,0.0493
2000,South America,Cold,32.93,725742700.28,1652.95,1736.17,66.74,37.03,0.9504
2004,Africa,Polar,32.86,114117992.04,9960.33,3582.83,76.19,62.8,0.5811
2009,Asia,Tropical,28.23,406960038.87,1841.0,2914.53,87.37,27.52,0.8148
2006,Africa,Tropical,-2.67,485587836.23,5050.35,6151.56,94.66,29.01,0.4231
2008,North America,Temperate,24.52,541286236.91,8491.76,9028.73,28.15,62.77,0.9033
2006,North America,Arid,37.25,818542280.75,253.0,9623.29,37.88,35.18,0.4833
2008,Africa,Cold,24.13,172506516.85,6064.67,6539.49,31.63,38.55,0.5739
2007,Africa,Cold,6.58,808023620.37,2806.4,8383.21,42.29,26.63,0.4918
2011,North America,Arid,15.03,693185549.27,8630.23,5256.77,92.32,22.98,0.7333
2001,Asia,Tropical,22.29,556314943.38,2870.44,2091.19,61.76,47.64,0.5667
2000,South America,Temperate,15.53,699828342.53,6883.22,5251.64,76.44,12.79,0.2716
2015,South America,Temperate,-4.0,412605721.21,6758.49,5555.28,54.11,62.15,0.1455
2022,Africa,Cold,5.6,139259188.38,2253.86,7427.15,12.6,55.65,0.6061
2022,South America,Temperate,30.12,666099475.03,396.25,2206.63,15.78,17.4,0.4892
2023,North America,Arid,33.07,525147634.38,4122.03,3689.42,58.41,50.11,0.096
2004,North America,Tropical,-3.13,639735425.74,2927.47,3646.63,74.69,44.17,0.3956
2002,Africa,Arid,37.62,338660782.25,8099.33,9594.8,29.38,16.99,0.5148
2011,Africa,Polar,6.44,906959710.76,8013.62,4445.01,74.97,22.76,0.8269
2007,Africa,Cold,23.12,587782498.71,4597.39,7553.39,82.96,31.58,0.0761
2021,Asia,Temperate,27.59,86317081.81,6084.8,7510.61,47.07,50.45,0.3485
2002,South America,Polar,30.6,450354186.71,6062.38,2662.79,77.18,46.52,0.8227
2000,Africa,Temperate,37.29,756599698.69,8280.22,5722.98,46.36,39.6,0.6484
2002,Europe,Tropical,5.65,794340427.17,4278.77,8944.09,71.05,54.95,0.29
2004,Europe,Tropical,32.93,495102455.71,2790.69,4757.23,78.76,54.27,0.8453
2014,North America,Tropical,-3.42,894852823.26,2687.1,9451.72,99.27,45.16,0.4933
2013,South America,Temperate,25.25,268400768.76,5385.11,2152.44,41.09,56.15,0.4984
2002,Africa,Polar,27.1,411188098.54,4519.02,750.85,46.99,26.73,0.9766
2000,Europe,Tropical,23.89,898698313.66,4429.2,8915.62,24.91,62.28,0.9471
2004,South America,Polar,2.62,896360459.76,956.82,8478.34,28.37,44.97,0.3585
2022,North America,Temperate,33.65,686027056.06,7200.11,9925.97,72.41,58.45,0.1406
2013,Asia,Polar,-1.56,859121566.58,2176.68,6797.14,92.53,40.51,0.3257
2006,South America,Temperate,-7.32,89684493.69,2009.69,9367.51,45.51,19.2,0.0305
2008,South America,Temperate,25.87,865129981.23,4156.95,8271.22,26.19,40.26,0.0208
2014,Asia,Cold,13.77,321299286.64,2316.39,8445.82,35.66,29.12,0.3955
2014,South America,Temperate,32.45,179153180.92,5859.39,5695.72,50.95,50.34,0.941
2009,North America,Temperate,9.17,240130466.51,3746.06,3829.82,36.16,35.93,0.8714
2012,North America,Arid,-1.59,418550539.51,4516.67,9346.24,31.02,59.35,0.5114
2018,Asia,Tropical,31.82,251940812.6,5394.83,4326.85,76.24,49.07,0.5652
2006,Africa,Cold,17.45,321247018.43,2075.18,5392.81,10.71,49.5,0.0059
2016,Europe,Cold,-0.54,135843507.59,1599.73,4466.68,58.53,19.12,0.2155
2019,Africa,Cold,26.02,296880588.79,8810.2,5652.53,81.44,68.98,0.0248
2003,South America,Arid,15.56,572711530.73,4365.55,4710.35,33.96,59.71,0.7545
2004,Europe,Temperate,20.22,442411854.38,4150.33,489.2,64.3,56.29,0.1456
2022,Asia,Tropical,13.04,347372042.47,404.34,8821.66,70.2,26.46,0.869
2006,Asia,Polar,31.44,746705676.73,5004.86,4449.49,68.95,39.82,0.6433
2012,Europe,Temperate,31.48,893616461.42,5563.99,5893.55,50.13,13.91,0.2294
2014,North America,Arid,25.47,757032433.68,5610.47,1400.49,41.19,40.0,0.1577
2010,Europe,Temperate,-4.73,332668701.42,7084.96,43.84,85.23,14.48,0.6276
2003,South America,Temperate,31.94,744697725.67,1815.94,2460.45,78.26,40.95,0.9008
2012,North America,Arid,23.55,152828202.29,2559.62,7048.81,38.91,47.17,0.7184
2006,Asia,Cold,24.85,131187670.1,8116.77,1000.95,19.27,30.36,0.3485
2018,Europe,Cold,8.15,346281410.0,9474.35,9089.79,16.46,37.41,0.5874
2021,Africa,Tropical,33.96,807894666.68,1402.53,2158.08,18.48,61.92,0.3108
2001,Africa,Tropical,26.27,247101899.0,5001.61,2053.89,62.46,12.06,0.9991
2009,South America,Cold,-4.37,64190155.49,2181.05,1823.26,14.65,56.46,0.7488
2012,Africa,Polar,10.39,132577825.67,647.73,149.68,40.32,16.1,0.6144
2024,Europe,Temperate,34.32,858886223.56,3288.76,7720.34,77.79,7.39,0.4233
2020,Europe,Polar,-7.64,634149501.46,1479.69,8751.59,36.49,17.06,0.6182
2005,Africa,Temperate,38.07,253947962.21,7113.83,6145.49,78.7,54.73,0.3416
2011,Europe,Cold,23.96,555740529.5,5360.57,1890.12,77.09,31.33,0.0289
2011,South America,Tropical,21.57,528052042.8,1481.15,2859.93,32.12,61.71,0.3951
2019,North America,Tropical,3.53,655780542.46,141.95,4764.51,75.59,39.11,0.9305
2010,South America,Polar,2.44,233954366.87,8091.16,9543.92,77.3,6.45,0.6263
2022,South America,Tropical,37.1,864538584.21,1803.13,2481.04,45.77,51.59,0.084
2024,Europe,Cold,4.91,310059193.52,6081.86,7319.14,28.94,12.17,0.885
2006,North America,Polar,28.78,694437522.32,3402.37,4400.09,56.91,56.31,0.2689
2000,Europe,Temperate,9.66,17108521.73,5875.59,2985.5,92.93,15.93,0.2438
2000,Asia,Tropical,-3.04,373284472.76,3190.75,4564.6,67.57,27.45,0.2971
2024,Europe,Arid,-9.46,352358108.14,915.05,721.36,25.56,54.48,0.5772
2024,Europe,Tropical,17.21,543940944.15,2268.35,7988.89,71.45,67.03,0.5447
2019,Europe,Temperate,38.79,73663525.52,1921.18,2440.59,48.45,29.14,0.4914
2012,North America,Polar,8.46,790341242.35,4308.79,7256.87,63.24,58.91,0.7175
2008,Europe,Temperate,7.86,218563020.97,6599.92,692.8,76.07,17.4,0.3165
2002,North America,Arid,7.2,677360777.07,2674.87,9551.43,56.35,57.47,0.7821
2006,Africa,Cold,16.03,803408911.12,170.1,1938.22,83.26,47.74,0.1753
2005,Asia,Tropical,12.03,562315079.29,5213.43,8828.59,74.99,17.53,0.7826
2007,North America,Polar,34.0,741142323.52,6077.31,8096.64,65.36,24.66,0.6638
2008,Africa,Cold,15.28,662198451.9,9630.56,9678.92,23.57,13.57,0.6832
2004,North America,Temperate,15.39,356174267.35,5915.23,4784.13,85.24,29.89,0.4816
2000,North America,Polar,-3.08,809049680.49,4738.17,7276.7,94.23,18.24,0.667
2018,Asia,Cold,39.14,295406668.52,5755.35,3713.4,22.33,46.86,0.0798
2009,South America,Polar,2.5,571641704.83,9282.61,1851.84,53.94,69.64,0.8516
2011,South America,Arid,-6.33,745652341.4,8292.36,4436.33,33.3,5.78,0.0555
2023,North America,Arid,23.16,379576953.9,3263.64,1665.83,77.91,40.16,0.1487
2014,Europe,Tropical,19.77,303464840.01,2410.68,9820.63,74.95,42.29,0.5768
2021,Africa,Tropical,10.76,459886664.16,2663.2,971.5,22.68,64.42,0.7394
2023,Europe,Arid,11.11,818145530.85,5068.99,5896.23,88.93,37.89,0.0763
2008,Europe,Polar,29.25,929991841.38,7453.29,6268.37,26.29,40.34,0.9208
2019,North America,Arid,-0.21,545538329.45,5057.03,5385.41,81.75,35.66,0.9736
2016,North America,Tropical,31.01,661804739.12,724.57,6625.24,51.13,22.48,0.606
2016,North America,Arid,22.44,903370348.62,7249.63,1170.65,39.54,8.64,0.4812
2019,North America,Arid,10.95,99448304.56,8069.4,5554.64,24.24,31.56,0.7414
2011,South America,Polar,12.9,232846499.29,2930.5,2879.25,25.09,8.42,0.3284
2006,North America,Cold,2.83,709191106.25,6658.05,9402.36,69.57,40.78,0.4933
2001,South America,Tropical,27.61,823920717.45,4294.59,7623.1,59.54,24.97,0.9162
2002,South America,Polar,15.64,857171999.3,8896.74,9725.42,20.99,39.68,0.9557
2016,North America,Arid,6.04,415692069.68,8459.99,385.19,20.14,13.73,0.9271
2004,Asia,Arid,19.8,90250562.39,5278.05,2858.48,16.51,65.62,0.2624
2016,Africa,Cold,39.79,438343695.82,6930.48,1962.27,76.94,63.14,0.2325
2023,Europe,Tropical,11.76,231503855.62,8839.33,121.43,74.07,17.35,0.2977
2016,South America,Tropical,36.03,291905258.54,4982.38,2430.83,15.26,27.32,0.4413
2016,Africa,Temperate,7.25,772495289.28,3166.84,6790.97,60.42,44.88,0.3142
2001,Asia,Tropical,-7.26,76451558.94,7548.98,2318.58,17.62,11.22,0.3742
2001,Europe,Cold,0.21,827753636.26,2239.66,5094.94,91.34,28.05,0.6206
2021,Europe,Temperate,10.93,428241416.74,3915.88,8879.3,91.64,21.32,0.7625
2022,South America,Temperate,0.98,596467867.17,8663.99,6940.64,72.84,64.51,0.7356
2004,North America,Arid,-9.99,90562579.0,7258.0,3952.34,93.36,60.41,0.8144
2000,Asia,Arid,35.75,338021719.28,4067.92,3730.96,83.03,42.69,0.0322
2000,South America,Tropical,32.19,90611218.1,2186.71,4562.8,84.57,38.82,0.0477
2018,Asia,Temperate,27.11,961582179.16,3591.89,1778.64,61.27,65.5,0.7894
2001,North America,Arid,-1.61,807454387.68,2876.84,6343.67,37.55,65.61,0.5331
2020,North America,Cold,-3.98,460173121.6,1802.09,3647.89,29.6,68.01,0.5781
2011,South America,Arid,-6.62,224378945.78,7446.16,8525.13,39.45,13.15,0.0526
2005,North America,Arid,26.2,933521650.14,2558.1,7567.96,66.56,15.44,0.2553
2022,Africa,Temperate,36.44,345251999.13,4568.97,6109.03,25.54,48.99,0.6384
2003,Europe,Temperate,11.53,161823447.26,3889.3,3648.38,33.28,40.19,0.8592
2022,South America,Polar,-4.04,563601224.07,9821.67,2107.22,52.13,6.2,0.917
2010,Asia,Cold,15.62,943830346.22,3941.37,7763.76,30.97,9.03,0.5004
2023,Africa,Temperate,7.44,4826460.21,845.83,4869.23,62.98,62.73,0.5455
2016,South America,Tropical,8.74,238886718.41,943.77,2255.25,93.09,61.48,0.833
2005,North America,Cold,21.07,938509192.77,5928.0,1959.79,77.33,28.22,0.5376
2023,North America,Cold,25.94,171914880.89,6013.67,1662.36,69.98,62.92,0.5169
2004,North America,Temperate,-4.47,114130208.19,4216.65,7773.84,62.44,43.59,0.9051
2019,North America,Cold,-8.22,570617028.58,4346.84,2297.58,53.92,57.38,0.7899
2001,Asia,Temperate,39.72,861981979.47,586.63,5271.16,26.79,32.78,0.9091
2005,Africa,Arid,1.64,477632707.88,5189.64,4520.95,90.52,12.37,0.2182
2021,Europe,Polar,-7.31,994569692.43,5072.16,5800.31,32.37,33.19,0.5244
2010,Asia,Arid,-0.51,679492527.84,1538.02,8772.78,18.22,34.72,0.8425
2015,Asia,Temperate,-8.05,75000832.3,1083.2,8678.8,77.5,40.81,0.1111
2015,Europe,Temperate,9.59,992839299.55,1279.55,4516.25,25.81,11.86,0.7947
2000,Europe,Arid,30.12,408486342.54,1055.23,163.51,43.47,69.44,0.183
2008,North America,Tropical,7.06,288115131.31,6116.6,4270.17,12.55,20.87,0.8081
2005,Asia,Tropical,12.21,558321304.39,2005.0,6065.87,22.34,17.91,0.612
2015,South America,Tropical,23.78,305003284.23,2551.73,5582.07,25.59,39.24,0.1932
2002,Europe,Temperate,15.44,87371049.61,1777.04,6516.85,14.9,39.92,0.4734
2019,Europe,Cold,33.07,2426914.74,9580.46,1549.22,69.1,33.59,0.6819
2003,Africa,Temperate,33.3,450133769.57,8553.44,6468.89,85.33,55.17,0.6339
2018,South America,Cold,-9.5,837026558.8,2343.42,1834.69,43.6,38.58,0.4272
2002,South America,Arid,28.9,572742870.44,3309.28,7507.73,88.71,44.63,0.8994
2018,Europe,Polar,13.04,999208091.64,2138.43,3397.49,29.2,52.04,0.5193
2019,North America,Cold,39.44,287559799.0,4944.17,7101.86,39.29,6.63,0.5059
2006,Africa,Tropical,14.16,281174609.7,245.12,488.18,23.57,42.09,0.0623
2019,South America,Temperate,39.34,160589710.77,6730.11,4084.52,65.85,62.47,0.9221
2008,Europe,Arid,27.73,164899524.68,5255.42,7053.29,47.79,6.13,0.1771
2000,South America,Tropical,2.43,285901409.41,8991.46,2276.44,65.2,31.34,0.5283
2007,Africa,Arid,16.92,793047205.23,1685.71,7954.92,78.55,65.2,0.8036
2006,Africa,Polar,39.61,905851033.85,8050.89,6311.49,59.11,27.96,0.2155
2017,Asia,Temperate,32.88,975112082.54,7930.01,5879.74,66.49,34.82,0.5274
2007,Europe,Temperate,-5.13,233057364.44,1315.45,3541.95,94.17,68.8,0.2407
2000,Africa,Polar,25.32,881416248.07,4015.66,4829.69,36.92,17.96,0.7597
2010,Asia,Temperate,7.28,328926834.19,1743.02,5977.52,42.32,9.24,0.5643
2024,Asia,Cold,-9.65,113727703.97,2584.47,4729.9,74.59,60.86,0.856
2024,South America,Arid,10.17,870154900.59,2669.3,6986.15,65.02,61.45,0.8946
2017,South America,Tropical,1.74,636469529.01,5584.55,4342.63,26.07,35.69,0.6487
2022,Asia,Polar,30.94,165566165.18,4143.54,2030.71,43.85,38.42,0.7254
2009,South America,Cold,6.87,430401426.26,9479.94,2147.2,52.11,59.33,0.5492
2002,Africa,Tropical,31.38,287970437.18,1307.38,67.98,47.75,53.01,0.3844
2006,North America,Tropical,-9.97,737057774.14,9738.24,3016.57,26.04,22.23,0.6481
2015,Africa,Polar,5.39,453962814.39,2344.85,7491.69,93.2,6.1,0.9083
2015,Asia,Cold,2.06,989290665.16,7740.1,7943.69,78.61,36.18,0.4167
2024,Asia,Tropical,1.68,55690237.28,3422.75,2032.65,53.32,60.83,0.3144
2019,Africa,Tropical,-6.59,355660250.87,1473.66,9590.85,71.21,63.23,0.3884
2016,South America,Cold,-0.64,482418266.94,8586.0,5029.0,90.76,67.15,0.4354
2001,South America,Temperate,17.78,503630421.19,3123.17,9170.62,22.26,62.17,0.0736
2000,Asia,Tropical,4.57,316619886.56,6605.61,7070.59,32.53,42.7,0.4984
2015,Europe,Arid,10.87,729511008.85,5686.11,7227.11,58.84,33.9,0.4943
2011,South America,Cold,8.84,874872326.42,4743.98,859.59,81.91,55.37,0.5884
2004,Africa,Tropical,33.8,938780582.68,4983.4,2207.71,13.26,53.09,0.3628
2004,South America,Polar,35.26,805288283.42,7335.77,98.06,98.56,39.98,0.6131
2022,Africa,Arid,14.65,850729617.11,923.34,7164.12,50.94,10.68,0.8782
2008,Asia,Tropical,6.51,550994755.32,6698.4,3450.94,42.33,65.2,0.9555
2008,South America,Arid,-4.66,826062338.2,8963.33,7868.66,36.35,34.61,0.5836
2002,Africa,Arid,37.67,304200405.24,624.99,3395.97,25.69,28.62,0.0426
2018,Asia,Temperate,-6.99,399080283.35,1449.5,8195.14,81.24,45.92,0.9692
2015,Europe,Arid,4.88,317596100.8,7180.49,1315.68,95.99,48.8,0.7059
2015,Africa,Temperate,4.9,467919948.11,4400.95,1742.0,47.23,18.69,0.336
2002,Europe,Cold,6.02,286294036.62,4065.31,3415.36,95.72,59.4,0.1472
2019,Europe,Temperate,-1.79,961649830.81,1412.82,4090.79,84.14,23.85,0.1434
2023,North America,Polar,29.16,313531783.38,5092.36,3493.54,53.29,17.13,0.1677
2021,South America,Tropical,-3.88,98946493.57,1309.13,7638.83,70.66,31.42,0.0456
2023,Africa,Cold,21.75,527290348.88,4792.37,978.54,49.15,52.49,0.9022
2000,Europe,Cold,-3.81,58041979.37,7647.97,3518.66,60.29,67.75,0.5408
2023,North America,Polar,-6.47,111432623.14,2619.73,8374.03,15.22,57.6,0.7
2019,Asia,Temperate,35.47,220169999.81,4833.82,677.3,72.66,66.12,0.8281
2010,Africa,Tropical,-0.49,464885899.63,9920.56,9424.01,14.75,14.14,0.7915
2016,Europe,Temperate,31.06,433817681.38,6882.17,9863.31,83.54,9.63,0.8826
2007,South America,Arid,17.23,799892170.14,8421.5,894.8,84.25,41.25,0.9673
2003,North America,Temperate,-6.11,739735179.23,4177.73,2919.81,31.34,23.87,0.4391
2005,Europe,Cold,37.77,426891975.7,7690.22,3730.28,39.13,58.82,0.9503
2007,South America,Tropical,2.35,334370503.37,453.07,7766.15,53.32,48.68,0.7233
2019,Europe,Temperate,32.98,317152315.28,1272.97,5963.31,63.7,68.1,0.0707
2002,Africa,Tropical,-1.56,774221092.21,2070.55,6447.21,35.86,21.56,0.6818
2015,Africa,Tropical,32.7,53020333.82,4049.42,7577.52,63.32,36.58,0.6867
2024,Africa,Arid,-9.34,13808827.86,8465.16,1188.61,36.8,37.58,0.9059
2002,North America,Arid,15.59,795748847.53,3495.35,8333.76,14.99,20.55,0.3729
2024,Africa,Cold,28.47,477669229.61,6563.48,7059.14,10.23,43.36,0.5849
2017,South America,Polar,36.74,131750257.42,7107.68,5777.64,19.1,33.81,0.0122
2013,Europe,Tropical,35.46,236330368.66,5882.51,8898.46,81.3,34.04,0.3321
2017,Asia,Polar,30.98,932571449.14,3604.56,7006.06,96.53,28.58,0.0622
